symbol,close,sma50,sma200,sma50/sma200,upper_bband,lower_bband,bollinger,macd,ema9,macd-ema9
A2A,1.268,1.24838,1.216465,1.02623585553,1.32443174623,1.22656825377,-0.153274726068,0.00965099434826,0.00999320701315,-0.000342212664895
ATL,21.92,22.008,22.2829,0.987663185672,22.3943013167,21.0236986833,0.307893761246,-0.0074951323201,-0.0654437056162,0.0579485732961
AZM,17.19,16.7116,15.71135,1.06366416635,17.8025030848,16.4204969152,0.11360296608,0.0913537108016,0.106298158066,-0.0149444472644
BMED,7.15,7.0961,6.5696,1.08014186556,7.4682411989,6.8642588011,-0.0538095151759,-0.00433675963006,0.00878682751759,-0.0131235871477
BMPS,15.08,16.0062,5.018465,3.18946131935,15.0800010355,15.0799989645,1.54392225168e-08,0.0211915152644,0.0389742713557,-0.0177827560913
BPE,4.74587,5.18464,4.11005,1.26145424022,5.9606790239,4.6512209761,-0.757488948704,-0.0945982398883,-0.0096515997131,-0.0849466401752
PMI,nan,nan,nan,nan,nan,nan,nan,0.00934698933603,0.00934753843283,-5.49096798442e-07
BP,nan,nan,nan,nan,nan,nan,nan,0.0663510358128,0.0663547913204,-3.75550760254e-06
BZU,24.03,23.0248,19.24955,1.19612146777,24.3214336838,22.4145663162,0.694332507045,0.151690578252,0.123997339568,0.0276932386838
BRE,63.35,59.076,53.79315,1.09820674194,63.4185666803,59.3764333197,0.96607401379,0.948332165419,0.858409679902,0.0899224855163
CPR,9.58,9.3687,9.197525,1.01861098502,9.70131328899,9.31018671101,0.379672485486,0.0698727793344,0.0622360076303,0.00763677170405
CNHI,8.73,8.4801,7.116775,1.1915649996,9.24340273265,8.19159726735,0.232932807522,0.159749189565,0.142595500239,0.017153689326
ENEL,3.958,4.0584,3.9607,1.02466735678,4.16630603298,3.78689396702,-0.098046433781,-0.017738172892,-0.0284803292271,0.0107421563351
ENI,14.38,15.019,13.8724,1.08265332603,15.6129391175,13.6670608825,-0.267231520791,-0.187255041674,-0.185323695377,-0.00193134629696
EXO,45.87,42.1644,36.98425,1.14006367575,45.4634119871,41.0605880129,1.18469419414,0.778093847102,0.56852659607,0.209567251031
RACE,61.85,57.063,46.51925,1.22665348216,63.349948696,55.175051304,0.633035468447,1.60546889818,1.3790612908,0.226407607383
FCA,10.82,9.3411,6.955625,1.34295624045,10.8635696534,9.3229303466,0.943439514737,0.354273408785,0.326910759117,0.0273626496684
FBK,5.168,5.4661,5.485615,0.996442513738,5.73271975751,5.33128024249,-0.408529788094,-0.00242168396443,0.0165968067426,-0.019018490707
G,14.73,14.3954,12.334075,1.16712440941,15.7995612018,13.6934387982,-0.0156686049888,0.144812916025,0.184947573174,-0.0401346571491
ISP,2.01036,2.3588,2.116205,1.11463681449,2.44034446966,2.02705553034,-0.211474326273,-0.059285845072,-0.0583533100939,-0.000932534978099
LDO,11.75,12.946,11.04775,1.17182231676,13.1396460828,11.4933539172,-0.688213200323,-0.305111005958,-0.268652772281,-0.0364582336761
LUX,49.91,50.3788,46.41785,1.08533247447,51.2866364237,48.7073635763,-0.0674608737805,-0.067642080713,-0.0999810960922,0.0323390153793
MS,3.856,3.95608,3.22949,1.2249859885,4.3097324276,3.6950675724,-0.476357152236,-0.025967560135,0.00346347208603,-0.029431032221
