symbol,close,sma50,sma200,sma50/sma200,upper_bband,lower_bband,bollinger,macd,ema9,macd-ema9
A2A,1.31,1.18692,1.211525,0.979690885454,1.31631169349,1.19318830651,0.897473686452,0.0282673460647,0.0252255811234,0.00304176494128
ATL,21.89,21.4694,22.52615,0.95308785567,22.8458224837,21.7501775163,-0.744766803327,0.0354875023791,0.141652114163,-0.106164611784
AZM,17.58,15.9386,16.08735,0.99075360454,18.1109276792,15.4590723208,0.599580212751,0.501768591725,0.463177538739,0.0385910529859
BMED,7.385,6.7113,6.569125,1.02164291287,7.62156738129,6.66543261871,0.505158915775,0.199668800001,0.192754085701,0.00691471430007
BMPS,15.08,13.4782,3.64772,3.69496562236,15.0800010355,15.0799989645,1.54392225168e-08,0.170540824655,0.389495799022,-0.218954974367
BPE,5.655,4.67772,4.07431,1.14810115087,5.56801846785,4.91448153215,1.26618704285,0.183472116475,0.18687650549,-0.00340438901484
PMI,nan,nan,nan,nan,nan,nan,nan,0.00934647657266,0.00938456613127,-3.80895586103e-05
BP,nan,nan,nan,nan,nan,nan,nan,0.0396409370074,0.0393605561867,0.000280380820625
BZU,23.4,21.8276,18.59755,1.17368147955,24.1078104878,22.1531895122,0.275756786995,0.492040051558,0.579235383935,-0.0871953323776
BRE,61.5,56.165,52.38635,1.07213043092,63.7204148875,54.9945851125,0.491070776129,1.65476663978,1.6061774539,0.048589185879
CPR,9.63,9.1356,9.109125,1.00290642625,9.5180560615,9.1304439385,1.57760803576,0.0755861850372,0.0536725972872,0.02191358775
CNHI,8.392,8.1505,6.889775,1.18298493057,8.55715635581,8.15834364419,0.713367432162,0.0946640828195,0.106488566762,-0.0118244839429
ENEL,4.04022,3.971,3.9559,1.00381708334,4.20776018924,4.09383981076,-0.365167326145,0.0349515744164,0.0494127777441,-0.0144612033277
ENI,15.51,14.3828,13.79925,1.04228853017,15.7655056028,15.2464943972,0.0154139253895,0.268029386444,0.35109994556,-0.0830705591154
EXO,41.91,40.4288,35.96415,1.12414167998,44.0644265954,39.7165734046,0.00896994408249,0.320563055625,0.547320554526,-0.226757498901
RACE,56.8,53.8762,44.5477,1.20940475041,56.9893585126,54.9306414874,0.816042214397,0.665906941244,0.776011066852,-0.110104125608
FCA,9.37,8.2375,6.656475,1.23751685389,10.2734387692,8.03456123084,0.192953831823,0.279968693546,0.389322299052,-0.109353605505
FBK,5.57,5.2021,5.614615,0.926528355016,5.60220181035,5.33029818965,0.763138054098,0.0679361506287,0.0768955754452,-0.00895942481653
G,13.72,13.2706,12.194925,1.08820677454,14.7258245799,13.5441754201,-0.702408149763,0.0573052054999,0.206091087887,-0.148785882387
ISP,2.458,2.31602,2.131915,1.08635663242,2.54954196491,2.37565803509,-0.0529088571272,0.0278516977269,0.045076517721,-0.0172248199941
LDO,13.1,12.959,10.9176,1.18698248699,13.8197400715,12.8592599285,-0.498708904551,0.0160430683855,0.112886933403,-0.0968438650176
LUX,51.25,49.9912,46.2764,1.08027417863,54.0997871613,46.8882128387,0.209662957402,0.477890253725,0.20995704373,0.267933209995
MS,4.276,3.33004,3.22276,1.03328823741,4.31306115279,3.98453884721,0.774376642558,0.223981751013,0.272560670211,-0.0485789191976
MB,8.065,7.3979,6.588725,1.12281207669,8.23884123612,7.66515876388,0.393946147806,0.141500973232,0.180529583128,-0.0390286098954
MONC,17.92,16.1558,15.33475,1.05354179233,17.8401391187,15.7988608813,1.07824595382,0.394362317844,0.306394615032,0.0879677028122
PST,6.135,6.0949,6.281025,0.970367097727,6.54253298548,5.97446701452,-0.434808653616,-0.0275457534275,0.00755371795142,-0.0350994713789
PRY,24.4,23.717,22.0142,1.07735007404,24.9853213802,24.0146786198,-0.206049030754,0.227068042423,0.269975000488,-0.0429069580653
REC,27.54,26.3524,26.45625,0.996074651547,27.9456325884,26.6723674116,0.362846646876,0.310341353536,0.343698228545,-0.0333568750091
SPM,0.5015,0.472472,0.4087005,1.1560347981,0.570846628391,0.480203371609,-0.530100105689,0.00654175273864,0.0147474502968,-0.00820569755812
SFER,25.48,22.0636,20.9355,1.05388455017,25.9740095061,21.4339904939,0.782375578256,0.868950940815,0.77315074957,0.0958001912449
SRG,3.768,3.67592,4.681735,0.785161911129,3.76800041512,3.76799958488,4.27913192414e-09,0.000522665252775,-0.00148559366328,0.00200825891605
STM,10.8408,10.0119,7.131535,1.40389130811,11.0639480909,10.3210519091,0.531702827004,0.216723380318,0.249090791569,-0.0323674112514
TIT,0.84,0.78131,0.7815625,0.999676929228,0.868833257711,0.821516742289,-0.218739691795,0.0127769896436,0.0175510939072,-0.00477410426359
TEN,16.91,16.0464,13.2728,1.20896871798,17.364226537,16.560773463,-0.130685914833,0.194033272638,0.299338908464,-0.105305635826
TRN,4.336,4.17768,4.5804,0.912077547812,4.39832799169,4.26087200831,0.0931207189733,0.0262465744672,0.0335170969795,-0.00727052251227
UBI,3.66,2.83416,3.831706,0.739660088744,8.95243035414,-1.77403035414,0.0132009992719,0.112456683502,0.155592392702,-0.0431357092006
UCG,273.0,3.46102,2.659835,1.30121605288,20.2090948589,-9.84409485887,1.47189035225,3.49091224924,1.05906460485,2.43184764439
UNI,3.576,3.22892,2.87225,1.1241779093,3.62853986616,3.35626013384,0.614074351315,0.0809036544716,0.100259052696,-0.019355398224
US,2.04,1.95738,1.69819,1.15262720897,2.14628770681,1.97971229319,-0.276151197837,0.0171875479236,0.0356497075848,-0.0184621596612
YNAP,27.05,26.461,nan,nan,28.4848125094,26.2721874906,-0.296932374184,0.368644564059,0.356387930436,0.0122566336234
