symbol,close,sma50,sma200,sma50/sma200,upper_bband,lower_bband,bollinger,macd,ema9,macd-ema9
A2A,1.285,1.18116,1.21039,0.975850758846,1.30847950951,1.17702049049,0.642785870637,0.0260055943993,0.0238654386346,0.00214015576464
ATL,21.8,21.4134,22.5491,0.949634353478,22.8299215139,21.8450784861,-1.09154450975,0.075216189106,0.195570816323,-0.120354627217
AZM,17.5,15.8814,16.11655,0.985409408341,17.9161318971,15.3238681029,0.678943247947,0.496080377952,0.441179311954,0.0549010659983
BMED,7.37,6.6646,6.5648,1.01520229101,7.54707286983,6.62592713017,0.615537776044,0.202609592958,0.187149361631,0.0154602313269
BMPS,15.08,12.88548,3.50245,3.67899042099,15.6866005865,14.5953994135,-0.111803398875,0.221141981436,0.506791588459,-0.285649607023
BPE,5.345,4.62444,4.06495,1.13763760932,5.46902015744,4.92247984256,0.546162820697,0.161015174814,0.194242363546,-0.0332271887326
PMI,nan,nan,nan,nan,nan,nan,nan,0.00934645560234,0.00940596978738,-5.95141850362e-05
BP,nan,nan,nan,nan,nan,nan,nan,0.0663470324949,0.0667540634916,-0.000407030996751
BZU,23.61,21.6852,18.52255,1.17074592861,24.1053631844,22.0316368156,0.522248265874,0.608452912684,0.620251888308,-0.0117989756239
BRE,61.4,55.901,52.2246,1.07039594367,63.6807454376,53.6942545624,0.543233861404,1.73929206886,1.57078254951,0.168509519346
CPR,9.315,9.0983,9.09865,0.999961532755,9.38253212955,9.19196787045,0.291240342048,0.0403479287624,0.0462450257977,-0.00589709703531
CNHI,8.253,8.1016,6.861775,1.18068575551,8.52779447403,8.15970552597,0.0882938761711,0.0955090448812,0.11362590043,-0.0181168555492
ENEL,4.05391,3.95388,3.95237,1.00038204925,4.21628888597,4.07371111403,-0.0140274319954,0.0408239322896,0.0566393799973,-0.0158154477076
ENI,15.47,14.2722,13.77605,1.03601540354,15.798011278,15.139988722,0.00303940948795,0.303373233446,0.392814495102,-0.0894412616559
EXO,41.23,40.2306,35.85875,1.1219186391,44.0546086618,39.6443913382,-0.280938536372,0.430610890518,0.672321789564,-0.241710899046
RACE,55.9,53.5778,44.3478,1.20812757341,56.8522655345,54.8827344655,0.0330027797094,0.67581565047,0.842532228093,-0.166716577623
FCA,8.89,8.1317,6.6306,1.22638976865,10.2645702555,7.92992974448,-0.177543393957,0.330479893157,0.449639897847,-0.119160004689
FBK,5.43,5.1837,5.627765,0.921093897844,5.58248555725,5.33401444275,-0.227390616875,0.0636236838325,0.0828653068038,-0.0192416229713
G,13.66,13.1958,12.186875,1.08278783527,14.6765559178,13.7164440822,-1.11757814061,0.128658481232,0.283717532584,-0.155059051352
ISP,2.42,2.30606,2.130865,1.0822177848,2.54852008074,2.37747991926,-0.502805886358,0.0349370817761,0.0544327295235,-0.0194956477475
LDO,12.93,12.9098,10.8947,1.18496149504,13.8177329859,12.9262670141,-0.991625062457,0.0439308932854,0.164816186351,-0.120885293066
LUX,53.2,49.8414,46.24155,1.07784881778,53.8484884609,46.9395115391,0.81227655897,0.327242616201,0.0588092173338,0.268433398867
MS,4.174,3.25364,3.218,1.01107520199,4.40583014175,3.89976985825,0.0837844845432,0.244789252368,0.297969109174,-0.0531798568067
MB,7.9,7.352,6.572775,1.11855342683,8.22496417273,7.64803582727,-0.126532177826,0.151249653688,0.202584974512,-0.0513353208241
MONC,17.24,16.0464,15.30265,1.048602693,17.5028288491,15.8661711509,0.678822457027,0.328021895193,0.267550407864,0.0604714873288
