symbol,close,sma50,sma200,sma50/sma200,upper_bband,lower_bband,bollinger,macd,ema9,macd-ema9
A2A,1.275,1.25252,1.217,1.02918652424,1.31745193685,1.22804806315,0.0503333895283,0.00810344772087,0.00945951339545,-0.00135606567457
ATL,22.13,22.033,22.2639,0.989628950903,22.4465307804,21.0084692196,0.559781320876,0.0396930093115,-0.0310356892148,0.0707286985262
AZM,17.17,16.7612,15.69715,1.06778619049,17.7210624969,16.4409375031,0.139048921667,0.0971387517227,0.103123704801,-0.00598495307838
BMED,7.095,7.0984,6.56985,1.08045084743,7.40422284573,6.87377715427,-0.165898227506,-0.00456189263737,0.00417258328095,-0.00873447591832
BMPS,15.08,15.7834,5.16367,3.05662445509,15.0800010355,15.0799989645,1.54392225168e-08,0.0175972111801,0.0315503917637,-0.0139531805836
BPE,4.44,5.17708,4.11233,1.25891647801,5.92653990133,4.45976009867,-0.945131639727,-0.151278172389,-0.0557461692694,-0.0955320031199
PMI,nan,nan,nan,nan,nan,nan,nan,0.00934705945552,0.009347410893,-3.51437480225e-07
BP,nan,nan,nan,nan,nan,nan,nan,0.0663514680131,0.0663538716357,-2.4036226822e-06
BZU,23.4,23.0722,19.318,1.19433688788,24.3605989404,22.4214010596,0.00928218836142,0.155295939308,0.137834313641,0.017461625667
BRE,62.55,59.376,53.90115,1.10157204438,63.7155636522,59.3794363478,0.462394173243,0.915817539664,0.884839510635,0.0309780290285
CPR,9.675,9.3856,9.20855,1.01922669693,9.73438638896,9.29961361104,0.72681643389,0.0795301682884,0.0679325744188,0.0115975938696
CNHI,8.7,8.4986,7.14285,1.18980518981,9.25990559335,8.22709440665,0.128774747711,0.134030281408,0.14164925742,-0.00761897601228
ENEL,4.04,4.06108,3.96111,1.02523787524,4.12770147934,3.80429852066,0.457633413755,-0.00817959885288,-0.0220151092743,0.0138355104214
ENI,14.12,15.0198,13.88025,1.08209866537,15.2966245073,13.7293754927,-0.501515708538,-0.193050918236,-0.185877462094,-0.00717345614247
EXO,45.14,42.3848,37.1186,1.14187496296,45.9142370451,41.3287629549,0.662308834436,0.869546874003,0.674632075804,0.194914798199
RACE,61.45,57.392,46.7568,1.22745782432,63.7091298712,55.8708701288,0.423563406815,1.53822407912,1.44846087489,0.0897632042292
FCA,10.64,9.451,6.995675,1.35097756828,10.9116015644,9.53989843558,0.603993664939,0.364701750797,0.341161334281,0.0235404165156
FBK,5.14,5.4766,5.47684,0.999956179111,5.71986195609,5.31013804391,-0.463726900852,-0.00992982395835,0.00764017918997,-0.0175700031483
G,14.86,14.4198,12.353775,1.16723835427,15.6396029443,14.0743970557,0.00383336150452,0.141719090337,0.169173734584,-0.0274546442474
ISP,1.992,2.35108,2.115595,1.11130911162,2.34044712592,2.07075287408,-0.264002660476,-0.0518730615906,-0.0564109068226,0.00453784523203
LDO,11.83,12.8812,11.05915,1.16475497665,12.8880389952,11.5099610048,-0.535528471677,-0.291170456223,-0.277396718028,-0.0137737381944
