symbol,close,sma50,sma200,sma50/sma200,upper_bband,lower_bband,bollinger,macd,ema9,macd-ema9
A2A,1.279,1.25698,1.217885,1.03210073201,1.31092809009,1.22937190991,0.217028310545,0.00633154567587,0.00805861739879,-0.00172707172292
ATL,21.81,22.035,22.2312,0.991174565476,22.3800619167,21.0199380833,0.161749977908,0.0246872548728,-0.00028573306618,0.024972987939
AZM,16.18,16.8144,15.66105,1.07364448744,17.6814382205,16.2715617795,-1.12988624652,-0.0183270924968,0.0704498881415,-0.0887769806382
BMED,6.375,7.0856,6.563725,1.07950896785,7.48459281077,6.60140718923,-1.5127057862,-0.096982434469,-0.0261414167155,-0.0708410177536
BMPS,15.08,15.473,5.3815,2.87522066338,15.0800010355,15.0799989645,1.54392225168e-08,0.0134252130778,0.0232426510736,-0.00981743799579
BPE,4.216,5.14936,4.11328,1.25188657227,5.82434174856,4.18635825144,-0.890546212806,-0.222315047239,-0.127096475293,-0.0952185719456
PMI,nan,nan,nan,nan,nan,nan,nan,0.00934718907155,0.0093473690222,-1.79950656534e-07
BP,nan,nan,nan,nan,nan,nan,nan,0.0663522647341,0.0663534954811,-1.23074695554e-06
BZU,24.01,23.2068,19.42465,1.19470878497,24.4637321336,22.3922678664,0.56192135119,0.233099872034,0.172704052978,0.0603958190562
BRE,nan,nan,nan,nan,nan,nan,nan,1.01126064392,0.934473117427,0.0767875264931
CPR,9.77,9.4161,9.2272,1.02047208254,9.82473068134,9.29076931866,0.795001342166,0.0951192418938,0.0787721160029,0.016347125891
CNHI,nan,nan,nan,nan,nan,nan,nan,0.117323601059,0.130330490845,-0.013006889786
ENEL,3.958,4.05768,3.9611,1.02438211608,4.09903468078,3.81276531922,0.0146714967229,-0.00813381854378,-0.0146474701663,0.00651365162247
ENI,14.36,14.9918,13.89205,1.07916398228,14.8242716479,13.9397283521,-0.0497431840928,-0.153940083563,-0.176308849063,0.0223687654998
EXO,45.08,42.7028,37.3308,1.14390262196,46.4104980686,41.6145019314,0.44516299408,0.885475135845,0.785197633892,0.100277501953
RACE,62.2,57.853,47.10615,1.22814112382,64.0667619706,56.7382380294,0.4905489876,1.38687270583,1.42931902705,-0.0424463212216
FCA,10.78,9.6139,7.05815,1.36209913363,11.0655553898,9.63544461017,0.600652769153,0.36456608629,0.354124355106,0.0104417311835
FBK,5.1,5.4825,5.46049,1.0040307738,5.66978087061,5.30521912939,-0.589749213075,-0.017983743294,-0.00307293287309,-0.0149108104209
G,14.51,14.4586,12.385375,1.16739299375,15.4044039431,14.1635960569,-0.441647741026,0.0833798461292,0.136334183587,-0.0529543374582
ISP,1.962,2.33772,2.114895,1.10535984056,2.25507081029,2.10392918971,-0.522688586328,-0.047407205016,-0.0523608916051,0.00495368658907
LDO,nan,nan,nan,nan,nan,nan,nan,-0.271765321114,-0.275797691447,0.00403237033347
LUX,48.95,50.2066,46.45125,1.08084497188,50.7866378482,48.3883621518,-0.531631956214,-0.299299040695,-0.192518467408,-0.106780573287
MS,3.938,4.04268,3.23434,1.24992425039,4.09620388101,3.76679611899,0.0394647652501,-0.0112782590533,-0.0105009090008,-0.00077735005245
MB,7.625,7.9935,6.749,1.18439768855,8.4751952435,7.5528047565,-0.843460563565,-0.0217801714503,0.0176173459365,-0.0393975173868
MONC,17.93,17.2762,15.6981,1.10052808939,18.1146450619,17.5313549381,0.366884319315,0.162593040899,0.189573733955,-0.0269806930565
PST,5.99,6.1436,6.2059,0.989961165987,6.13345778279,5.83554221721,0.0369232133905,-0.0305734575486,-0.035676155733,0.00510269818437
PRY,24.42,24.5114,22.4874,1.09000595889,25.3787033972,23.8442966028,-0.249607862408,-0.0334729183989,0.0286021947917,-0.0620751131906
REC,29.46,27.3764,27.0324,1.01272547018,29.9095017747,25.5424982253,0.794137206625,0.604563719209,0.398281993751,0.206281725458
SPM,0.4495,0.498872,0.42023,1.18714037551,0.50996191373,0.43211808627,-0.553415747985,-0.010049337661,-0.00961499508216,-0.000434342578797
SFER,26.82,24.562,21.5717,1.13862143456,27.2867136701,24.6012863299,0.65241012993,0.548725771055,0.589430220774,-0.0407044497192
SRG,3.768,3.76864,4.496945,0.838044494651,3.76800035278,3.76799964722,5.03524088825e-09,0.000261696218717,0.000336387480487,-7.46912617708e-05
STM,14.08,11.6316,8.05151,1.44464827095,14.0583118499,12.0156881501,1.07998355264,0.642609968098,0.614433667993,0.0281763001046
TIT,0.7595,0.82277,0.7740275,1.0629725688,0.834787651813,0.761712348187,-1.06054981854,-0.0122623943838,-0.00730671683836,-0.00495567754546
TEN,16.21,16.5878,13.8341,1.19905161883,16.8959404064,15.4440595936,0.0551009416831,-0.146209375798,-0.151161102068,0.0049517262696
TRN,4.424,4.28836,4.502945,0.952345631581,4.51223977798,3.99156022202,0.661059179407,0.0469970303902,0.0228874468908,0.0241095834994
UBI,2.834,4.960152,4.8667195,1.01919825048,11.5622801741,-2.92440017408,-0.189821265736,-0.664336148328,-0.554269637922,-0.110066510406
UCG,12.3,11.61472,4.575955,2.53820677869,31.4838220764,3.5971779236,-0.37584300006,-0.671151471759,0.336402164445,-1.0075536362
UNI,3.568,3.48424,2.85752,1.21932304936,3.69394607033,3.26365392967,0.414602041593,0.0248348320601,0.0124123378714,0.0124224941887
US,2.012,2.02004,1.69831,1.18944126808,2.07278487016,1.86391512984,0.417963846111,0.00143101803245,-0.00888120377746,0.0103122218099
YNAP,22.97,25.6602,nan,nan,24.4432144383,22.7727855617,-0.763875683621,-0.728268104674,-0.746086163789,0.0178180591147
