symbol,close,sma50,sma200,sma50/sma200,upper_bband,lower_bband,bollinger,macd,ema9,macd-ema9
A2A,1.256,1.17332,1.20675,0.972297493267,1.27605356129,1.16354643871,0.643514813451,0.0258628979814,0.021258401975,0.00460449600643
ATL,22.3,21.35,22.6238,0.943696461249,22.9081864112,21.7278135888,-0.0304988384306,0.291737500436,0.348014499999,-0.0562769995633
AZM,17.07,15.479,16.2243,0.954062733061,17.0890041123,15.2299958877,0.97955456891,0.427411895088,0.326719483086,0.100692412002
BMED,7.2,6.5007,6.5486,0.992685459488,7.18822394656,6.67677605344,1.04604986589,0.172686636475,0.160839628049,0.0118470084259
BMPS,15.08,10.80812,2.99134,3.61313658762,21.6482281902,12.0287718098,-0.365613176146,0.581996659606,1.26344191262,-0.681445253015
BPE,5.3,4.4694,4.02867,1.10939838706,5.48237421021,4.71222578979,0.526392042432,0.261965670312,0.267959833214,-0.00599416290165
PMI,nan,nan,nan,nan,nan,nan,nan,0.00934641215494,0.00963019034285,-0.000283778187917
BP,nan,nan,nan,nan,nan,nan,nan,0.066346722625,0.0682875437304,-0.00194082110532
BZU,23.22,20.8622,18.23135,1.14430363083,23.5304037129,21.5775962871,0.682094907275,0.611046178017,0.668308925609,-0.057262747592
BRE,60.1,55.092,51.64385,1.06676787265,61.009073022,51.705926978,0.80456653745,1.50687309254,1.0379626413,0.468910451243
CPR,9.31,9.0531,9.07735,0.997328515481,9.38825517363,9.13074482637,0.392217249029,0.056558070097,0.0576920781514,-0.00113400805435
CNHI,8.352,7.8601,6.762625,1.16228535517,8.46200549159,8.10499450841,0.988765098668,0.124298845549,0.14228418855,-0.0179853430011
ENEL,4.07152,3.91584,3.93945,0.994006777596,4.23691431182,3.99988568818,0.367888057838,0.075852920444,0.0807538705265,-0.00490095008251
ENI,15.72,13.9014,13.67675,1.01642568593,15.8689097675,14.6930902325,0.746713227537,0.495557244017,0.521982130858,-0.0264248868409
EXO,43.34,39.489,35.43765,1.11432332562,42.9280943746,39.7429056254,1.25863812652,0.776186334322,0.725601737357,0.0505845969647
RACE,55.85,52.3734,43.6518,1.19979932099,57.2365912165,54.0884087835,0.119116349823,1.03844003472,1.21777804984,-0.179338015124
FCA,9.9,7.6972,6.525475,1.17956164111,9.5738715674,7.8271284326,1.37341315515,0.4867957041,0.435254360152,0.0515413439489
FBK,5.53,5.1372,5.679165,0.904569597819,5.64328543104,5.21571456896,0.470097515577,0.10281459935,0.106584092747,-0.00376949339629
G,14.46,12.8388,12.134125,1.05807382073,14.6226717007,13.8963282993,0.55208046111,0.431727677759,0.501474590658,-0.0697469128993
ISP,2.544,2.25342,2.124775,1.0605452342,2.55845279981,2.33714720019,0.869386045065,0.078385549964,0.0771107289866,0.00127482097733
LDO,13.65,12.5784,10.8192,1.16259982254,13.6702326155,13.1837673845,0.916817835081,0.265583825979,0.308705227223,-0.0431214012433
LUX,48.17,49.2986,46.187,1.06736960617,52.8612281302,48.7587718698,-1.28703383165,0.034151914006,0.524618416102,-0.490466502096
MS,4.17,3.01456,3.194,0.943819661866,4.74701809788,3.13038190212,0.28614972324,0.345690100782,0.378393064664,-0.0327029638817
MB,8.19,7.1678,6.515325,1.10014465894,8.27901597943,7.45948402057,0.782763860605,0.284669337113,0.287233520713,-0.0025641835991
MONC,16.59,15.7424,15.2112,1.03492163669,16.7944671246,16.1685328754,0.346681780567,0.192774357109,0.236358850854,-0.0435844937445
PST,6.3,6.0759,6.296,0.965041296061,6.4712941901,6.2017058099,-0.270783184151,0.0853051912748,0.0995514421549,-0.0142462508801
PRY,24.57,23.2888,21.7861,1.06897517224,24.7771647302,23.8568352698,0.549803110451,0.32860267927,0.36322396037,-0.0346212811006
REC,27.78,26.0514,26.2232,0.993448549376,28.0078342941,25.5671657059,0.813301736055,0.435275897607,0.337790871903,0.0974850257047
SPM,0.5475,0.448782,0.4006405,1.12016134165,0.582595999113,0.448534000887,0.476421363586,0.0313134429111,0.0301461357282,0.00116730718288
SFER,24.37,21.5318,20.78745,1.0358076628,24.0509566256,20.8730433744,1.20078796949,0.634500787165,0.454619765956,0.179881021209
SRG,3.768,3.76612,4.7578,0.791567531212,3.8162988648,3.7143011352,0.0529423549071,-0.00216025922906,-0.0116528262614,0.00949256703235
STM,10.1639,9.581,6.864635,1.39570421443,11.0934679056,9.92753209441,-0.515465769417,0.263653295713,0.381835319978,-0.118182024265
TIT,0.848,0.76756,0.7832375,0.979983721413,0.896694322662,0.761055677338,0.28199927763,0.0260725393197,0.0282150893341,-0.00214255001439
TEN,17.04,15.364,13.00585,1.18131456229,17.4925912297,16.1304087703,0.335491032684,0.488209048698,0.564025554822,-0.075816506124
TRN,4.308,4.16628,4.6113,0.903493591829,4.42988362106,4.17231637894,0.0535782418862,0.0516514070016,0.0547313487301,-0.00307994172847
UBI,2.964,2.44288,3.815831,0.640196067383,3.04679827804,2.39760172196,0.744920772413,0.14433730685,0.125465290589,0.0188720162607
UCG,2.818,0.239962,0.2432075,0.986655427978,0.297491502997,0.258028497003,0.204748720895,0.0118876831769,0.0139465942273,-0.00205891105041
UNI,3.57,3.08276,2.87084,1.07381811595,3.60899111444,3.22540888556,0.796700099712,0.135768320395,0.137908845937,-0.00214052554231
US,2.118,1.89326,1.695415,1.11669414273,2.13021518117,1.98358481883,0.833388106366,0.0636415380426,0.0654549791529,-0.00181344111025
YNAP,27.09,26.0204,nan,nan,27.3562207351,26.5807792649,0.313369879411,0.230531947951,0.263494184204,-0.0329622362532
