symbol,close,sma50,sma200,sma50/sma200,upper_bband,lower_bband,bollinger,macd,ema9,macd-ema9
A2A,1.34,1.27278,1.22102,1.04239078803,1.34339880258,1.23670119742,0.936290930318,0.0169308532127,0.0110030383092,0.00592781490347
ACE,11.96,11.7328,11.394775,1.02966491221,12.166264872,11.469735128,0.407735638665,0.101195201035,0.0797690136125,0.0214261874227
ACO,5.96,6.2592,5.60074,1.11756660727,6.26991650632,5.95308349368,-0.956339737077,-0.0184109246684,0.0132747152695,-0.031685639938
ADB,15.87,13.2945,9.853025,1.34928105836,18.1706204718,13.7373795282,-0.0378955265777,0.702665610179,0.951104025051,-0.248438414873
AEF,1.388,1.21564,1.074985,1.13084368619,1.51530556011,1.11439443989,0.364918787785,0.0561657257033,0.0577141604541,-0.00154843475077
AMP,10.4292,9.5019,9.09225,1.04505485441,10.5580619832,9.48443801684,0.891839256611,0.241881025605,0.205204919737,0.0366761058684
ASC,2.98,2.80388,2.6891,1.04268342568,2.96504174533,2.79195825467,1.17284438414,0.0417874363716,0.0367982167486,0.00498921962297
AST,6.59,5.9364,4.404895,1.34768252138,6.64841420212,5.50708579788,0.897638222441,0.182439218959,0.130256583505,0.0521826354542
ATL,22.69,22.011,22.15975,0.993287379145,22.565962378,21.373037622,1.20795548307,0.142887320732,0.0607223939036,0.0821649268287
AZM,16.2,16.8202,15.54665,1.08191796947,17.6973857653,15.5446142347,-0.391123715645,-0.232180131317,-0.157255312539,-0.0749248187772
BANZ,nan,nan,nan,nan,nan,nan,nan,0.0277764054609,0.027780195052,-3.78959106472e-06
BB,nan,nan,nan,nan,nan,nan,nan,0.491996211013,0.491547450113,0.000448760899496
BEC,9.1,8.3707,7.5016,1.11585528421,9.42337802282,8.40562197718,0.364527434243,0.183906878179,0.227149073567,-0.0432421953874
BET,1.005,0.8443,0.624504,1.35195290983,0.993516635922,0.871783364078,1.18866434631,0.0377868758741,0.036399809052,0.00138706682217
BFE,0.373,0.378196,0.3400755,1.11209422614,0.388686013331,0.358123986669,-0.0265034779584,-0.00237476910902,-0.00207036260907,-0.00030440649995
BMED,6.31682,7.0033,6.5252,1.07326978483,7.51094274436,5.95455725564,-0.356916717631,-0.217536271929,-0.175596629601,-0.0419396423281
BMPS,15.08,15.08,5.88876,2.56081076491,15.0800010355,15.0799989645,1.54392225168e-08,0.00735432235118,0.0119369109309,-0.00458258857975
BNS,0.5825,0.55211,0.549032,1.0056062306,0.605623744782,0.521476255218,0.450399651804,0.0105553612678,0.00847606713321,0.00207929413455
BP,nan,nan,nan,nan,nan,nan,nan,0.0663550647213,0.0663553228954,-2.58174099502e-07
BPE,4.63979,5.0619,4.10703,1.23249647556,5.28360205949,3.98639794051,0.100215531309,-0.191091318925,-0.211155379096,0.0200640601704
BRE,64.7869,61.334,54.54465,1.12447325265,66.2847871129,60.1352128871,0.842334738935,1.20363881476,1.05193898701,0.151699827754
BRI,0.0525,0.054476,0.050662,1.07528324977,0.054262967637,0.051147032363,-0.131581680602,-0.000569259147131,-0.000580513242597,1.12540954653e-05
BSS,22.64,19.6302,15.467,1.26916661279,21.6598832333,17.9301167667,1.52556468376,0.511090939498,0.211228285901,0.299862653597
BST,2.112,2.27252,2.188765,1.03826587139,2.41850247222,1.96269752778,-0.34488436758,-0.0612376777039,-0.052744773672,-0.0084929040319
BZU,24.24,23.3728,19.6417,1.18995809935,24.6229288056,22.3970711944,0.655926952678,0.203747309126,0.152416979235,0.0513303298916
CAD,3.994,3.99736,3.66725,1.09001567932,4.1862717684,3.9727282316,-0.800773474907,-0.000700594188786,0.0211305205486,-0.0218311147374
CAI,3.782,3.69492,3.86327,0.956422926692,3.75181496014,3.44118503986,1.19434727883,0.00439598067443,-0.0222360511186,0.026632031793
CEM,5.32888,4.41514,4.183395,1.05539639456,5.86989691574,3.62680308426,0.607776625688,0.319694372921,0.258527032747,0.0611673401741
CLT,nan,nan,nan,nan,nan,nan,nan,-0.0399055246198,-0.0408705806486,0.000965056028785
CMB,14.9,14.6356,nan,nan,15.079420108,14.724579892,-0.0112726794161,0.0625141789465,0.0910743832887,-0.0285602043422
CNHI,8.89,8.6185,7.2777,1.18423402998,9.12970904811,8.66579095189,0.440810569078,0.0838180918683,0.087443163079,-0.00362507121074
CPR,9.65528,9.4829,9.270125,1.02295276493,9.84675545385,9.44324454615,0.495649550448,0.0708350915854,0.0767775859359,-0.00594249435048
DA,3.65,2.83852,2.35725,1.20416587125,3.81716727914,2.08743272086,0.806713373055,0.249621779555,0.160507711252,0.0891140683026
DAL,21.0,19.4334,17.7099,1.097318449,20.890422095,19.482577905,1.15566765955,0.258637918868,0.257241274767,0.00139664410025
DANR,15.18,15.2208,13.26705,1.14726333284,15.6603628724,14.8296371276,-0.156489672803,0.0985404526412,0.114897038685,-0.0163565860434
DEA,1.194,1.1985,1.1074775,1.08218902867,1.21414032482,1.15165967518,0.355310006047,-0.000969973237797,-0.00109370014838,0.000123726910586
DIB,11.74,12.513,10.0724,1.24230570668,12.1155407326,10.6744592674,0.47880707416,-0.235957479873,-0.366824095096,0.130866615223
DIS,0.2416,0.291172,0.3216215,0.905325048232,0.251920915416,0.232629084584,-0.0699778062417,-0.0121269596582,-0.0149790406359,0.00285208097773
EIT,48.74,50.3808,47.1164,1.06928373135,49.5869997208,47.5130002792,0.183220878637,-0.389367953843,-0.448758207558,0.0593902537153
ELC,1.586,1.69122,1.745335,0.968994491029,1.68021383942,1.42098616058,0.273118982967,-0.0364109053725,-0.052446242032,0.0160353366594
ELN,25.5,23.27,18.732,1.24225923553,25.5623481921,20.8366518079,0.973613119829,0.562644860199,0.295852908032,0.266791952167
