2017,3,14,AMG,Buy,1000
2017,3,20,AMG,Sell,1000
2017,3,14,BXP,Buy,1000
2017,3,20,BXP,Sell,1000
2017,3,14,VNO,Buy,1000
2017,3,20,VNO,Sell,1000
2017,3,14,IBM,Buy,1000
2017,3,20,IBM,Sell,1000
2017,3,14,ALXN,Buy,1000
2017,3,20,ALXN,Sell,1000
2017,3,14,SLG,Buy,1000
2017,3,20,SLG,Sell,1000
2017,3,14,LUV,Buy,1000
2017,3,20,LUV,Sell,1000
2017,3,14,UAL,Buy,1000
2017,3,20,UAL,Sell,1000
2017,3,14,AAL,Buy,1000
2017,3,20,AAL,Sell,1000
2017,3,14,BHI,Buy,1000
2017,3,20,BHI,Sell,1000
2017,3,14,AIV,Buy,1000
2017,3,20,AIV,Sell,1000
2017,3,14,MRK,Buy,1000
2017,3,20,MRK,Sell,1000
2017,3,14,SBUX,Buy,1000
2017,3,20,SBUX,Sell,1000
2017,3,14,EBAY,Buy,1000
2017,3,20,EBAY,Sell,1000
2017,3,14,INTC,Buy,1000
2017,3,20,INTC,Sell,1000
2017,3,14,SYY,Buy,1000
2017,3,20,SYY,Sell,1000
2017,3,14,HOT,Buy,1000
2017,3,20,HOT,Sell,1000
