symbol,close,sma50,sma200,sma50/sma200,upper_bband,lower_bband,bollinger,macd,ema9,macd-ema9
MMM,189.309998,179.66140014,175.50445046,1.02368572232,192.775188101,172.940812299,0.650587431086,3.15936007448,2.49187427325,0.667485801227
ABT,45.25,41.74680024,41.049750085,1.01698061873,46.6602431602,41.7107572398,0.430145601831,1.1234429303,1.129675942,-0.00623301169747
ABBV,63.34,61.7566002,62.372300035,0.990128633469,63.3590534158,59.6999469842,0.989585754824,0.43149774622,0.185184225488,0.246313520732
ACN,123.639999,117.79319984,116.71979999,1.00919638185,126.785855842,113.478143658,0.5272129727,1.95149288719,1.57802686713,0.373466020061
ATVI,47.07,40.69020022,40.644750065,1.00111822941,49.7990868868,38.8199128132,0.502861168148,1.75765573841,1.69627312124,0.0613826171713
AYI,209.570007,216.8491998,245.458650275,0.883444928737,224.021017468,204.087983532,-0.449955938929,-0.538351979147,-0.37506296214,-0.163289017007
ADBE,120.040001,112.3841998,104.429449805,1.07617343584,121.693809123,114.428190077,0.544757821032,2.08976489804,2.28075808635,-0.19099318831
AAP,155.350006,165.99219938,159.01519981,1.04387630603,166.298121386,154.285878314,-0.822826148394,-2.66512189051,-2.37284121123,-0.29228067928
AES,11.55,11.565,11.86315,0.974867552041,11.9034271686,11.1815728314,0.0207798155748,0.00311016802287,0.00664919377067,-0.0035390257478
AET,130.690002,123.68059932,119.407049615,1.03578976048,133.559843075,118.600155225,0.616323401457,2.17331792009,1.75365474732,0.419663172766
AMG,168.75,154.17339972,149.067550205,1.03425191806,174.550383805,158.620613995,0.271755477434,4.34003575632,4.94922222448,-0.609186468165
AFL,72.269997,70.26580014,70.99304998,0.98975604175,73.4873464844,68.4596549156,0.515742177996,0.704740011506,0.555763638707,0.1489763728
A,51.98,48.87159994,46.61044991,1.04851165424,52.6498283911,49.1811719089,0.613782226909,0.875223955591,0.918830124884,-0.0436061692931
APD,139.520004,143.15679994,144.164697795,0.993008705526,143.242000214,137.789002486,-0.36511929755,-0.58943767835,-0.723418440959,0.133980762609
AKAM,63.360001,66.90039994,59.520099915,1.12399676808,69.4635257946,59.1934741054,-0.188606441196,-1.16331375759,-1.25720421274,0.0938904551582
ALK,98.940002,93.8404002,75.499500005,1.24292743917,99.9055851116,93.9744142884,0.674403877275,1.31176459104,1.3834603326,-0.071695741559
ALB,104.769997,92.98740036,85.05820039,1.09322087622,103.474351752,86.7626493476,1.15505843944,2.4006870212,1.17572598267,1.22496103853
AA,36.380001,34.37759968,nan,nan,39.5085026875,34.0034968125,-0.136602488184,0.220908985293,0.459791285031,-0.238882299738
ALXN,134.990005,130.42440056,128.378100015,1.01593963881,135.073306816,124.888695484,0.983641630739,1.06605204756,0.524737251025,0.54131479653
ALLE,73.82,68.12059964,68.33444994,0.996870534552,76.953732581,66.809265519,0.382178962808,1.79337520476,1.83278582598,-0.0394106212293
AGN,245.630005,225.20060118,228.270549825,0.986551271518,254.644286857,233.643713743,0.141520394885,6.14009955976,7.47561656322,-1.33551700347
ADS,244.630005,232.86460022,218.336750415,1.06653872872,251.605277751,219.183722149,0.569713875748,4.42814128377,3.2609567171,1.16718456668
LNT,39.189999,37.8780003,38.399999975,0.986406258455,39.7829549469,37.0080460531,0.572630331611,0.479778696991,0.389888134821,0.0898905621697
ALL,81.860001,76.78060056,70.863300105,1.08350303255,83.2077365769,77.0642658231,0.561246197495,1.62208661767,1.6093193323,0.0127672853734
GOOGL,849.080017,830.2744031,789.54900117,1.05158058825,861.982198379,820.069797621,0.384326302201,6.41696807123,6.27536577656,0.141602294675
GOOG,829.080017,809.55640012,769.31049988,1.05231424795,842.546275152,799.667726248,0.37188834528,6.62684874382,6.60006913411,0.0267796097099
MO,75.57,70.67759986,66.639849935,1.06059062151,76.2206290034,70.4143691966,0.77588705121,1.4234618601,1.29522220779,0.128239652314
AMZN,849.880005,814.1686035,775.308700545,1.05012184557,869.512740925,806.360269175,0.378243309218,10.157751478,11.0495307329,-0.891779254939
AEE,54.44374,52.76360022,50.79730004,1.03870875378,55.3629380016,51.8150619984,0.733395980465,0.702828055078,0.567927344254,0.134900710824
AAL,46.82,46.85239992,39.56034995,1.18432723622,47.9672231912,44.6027769088,0.318031500633,-0.00378419197656,-0.0392792147391,0.0354950227625
AEP,66.519997,63.76099976,64.59049972,0.987157554693,67.6240741657,62.0909261343,0.600922599786,0.932478049317,0.760625049737,0.17185299958
AXP,79.879997,77.35060038,68.53100016,1.12869504603,81.4791831597,77.2158179403,0.249801001134,0.969504201974,1.00725894827,-0.0377547462987
AIG,64.220001,65.22599968,60.276400015,1.08211505106,66.9748465909,61.5021534091,-0.00676047400643,-0.315363339343,-0.40680466107,0.0914413217273
AMT,115.669998,106.6767993,109.900500065,0.970667096482,117.4316012,101.0613973,0.784779320875,2.64820317024,1.95223444387,0.695968726367
AWK,77.339996,73.11180002,75.121400065,0.9732486343,78.6427958606,70.4152026394,0.683309608143,1.36889609191,0.987865101127,0.381030990787
AMP,133.059998,119.34620034,104.77654996,1.13905449631,135.951102408,120.220898692,0.632413608815,4.09322109605,4.01931897247,0.0739021235839
ABC,92.230003,86.34620086,82.19565017,1.05049598953,92.7230042749,89.5569982251,0.688565803636,1.63721474908,1.83223823373,-0.195023484648
AME,54.849998,51.6891999,48.42604994,1.06738418607,56.2759179744,51.4350819256,0.410878633349,0.949349241479,1.00755880087,-0.0582095593875
AMGN,180.199997,160.70779972,159.545749675,1.00728349108,180.717244172,163.362756128,0.940390385357,5.28518518963,4.9902882589,0.294896930726
APH,70.470001,68.30359966,63.777800065,1.07096198976,71.2970672682,66.9949317318,0.615508967035,0.672980674903,0.556931784856,0.116048890048
APC,63.159999,68.98279952,60.88374982,1.13302481736,70.5404989251,63.0174989749,-0.94882360059,-1.35115701394,-1.05835029836,-0.292806715582
ADI,83.18,76.11599988,66.17729978,1.15018291972,86.1079423469,74.1580572531,0.50996309606,2.23864283124,2.13830435985,0.100338471385
ANTM,165.350039,154.04940092,136.56204984,1.12805425153,168.260975642,157.193028058,0.591437233552,3.41972635208,3.6014600669,-0.181733714826
AON,116.480003,113.90039978,111.019649885,1.02594810827,117.982671495,113.716328405,0.295570720216,0.838640527709,0.875380774167,-0.0367402464575
APA,52.09,59.84419962,58.3374499,1.02582817251,59.6032305334,50.8367687666,-0.714085051253,-2.18957960493,-2.06301049644,-0.126569108493
AIV,45.389999,44.90099988,43.85279992,1.02390269178,46.6674079932,44.1835909068,-0.0285853980104,0.367539039373,0.387094251795,-0.0195552124216
AAPL,139.779999,125.67779942,111.371549905,1.12845515329,141.216725695,128.965272005,0.765460208885,3.97571690986,4.05508654522,-0.0793696353575
AMAT,36.869999,34.38440008,29.44639997,1.16769452684,37.0758281613,34.7041716387,0.826425825722,0.67202635831,0.666096295983,0.00593006232756
ADM,45.200001,44.79780014,43.66165007,1.02602169337,46.577504795,42.776495205,0.275190571146,0.361972687024,0.206115034247,0.155857652777
AJG,56.860001,54.00980008,50.39754992,1.07167511448,58.2380254498,53.4889745502,0.419663221592,0.958020095244,0.959136154004,-0.00111605875987
